species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
Os 1,3017.251,1.084,1.0,-0.53,0.0,0.0,0.0,1.32,0.083
Co 1,3017.2555,1.8826,1.0,-0.691,8.11,-6.23,-7.8,0.75,0.885
Fe 1,3017.2583,2.9398,1.0,-1.131,7.67,-4.63,-7.29,1.66,0.945
Fe 1,3017.307,2.5592,1.0,-3.234,7.28,-5.23,-7.75,1.27,0.535
Fe 1,3017.417,2.9398,1.0,-1.127,7.67,-4.38,-7.29,1.02,0.946
W 1,3017.441,0.3659,1.0,-0.73,0.0,0.0,0.0,0.13,0.076
Fe 1,3017.493,2.4242,1.0,-2.486,8.07,-5.56,-7.69,0.97,0.894
Fe 1,3017.5118,2.5881,1.0,-4.087,8.33,-4.86,-7.51,1.36,0.105
Co 1,3017.5473,0.1012,1.0,-1.25,8.2,-6.07,-7.659,1.66,0.975
Cr 1,3017.574,1.0037,1.0,0.47,8.6,-5.93,-7.68,1.15,0.986
Fe 1,3017.627,0.1101,1.0,-1.554,8.3,-6.16,-7.696,1.5,0.994
